image_path,plate_text,split,origin,layout,source_status
ocr/images/test/syn-000d97af5c2674d5ff5f.jpg,MH01KK2750,train,synthetic,double,generated
ocr/images/test/syn-000f1256579bbf1b2813.jpg,KA35DCF7602,train,synthetic,single,generated
ocr/images/test/syn-00161faac92c87159e6f.jpg,MH03T7012,train,synthetic,single,generated
ocr/images/test/syn-0022dc0e6051bbfbe60d.jpg,MH11ZN4832,train,synthetic,single,generated
ocr/images/test/syn-0068e676306024c2db42.jpg,MH06BH1605,train,synthetic,double,generated
ocr/images/test/syn-007268046fe888041020.jpg,MH11TD4595,train,synthetic,single,generated
ocr/images/test/syn-00af085de38ab75057d4.jpg,HR98KJ1710,train,synthetic,single,generated
ocr/images/test/syn-00b4184ae43358d33f31.jpg,MH39F5236,train,synthetic,single,generated
ocr/images/test/syn-00bf030600be9b68f5fe.jpg,MH37DX7749,train,synthetic,single,generated
ocr/images/test/syn-00e26b78845276e5f808.jpg,MH19TK8880,train,synthetic,double,generated
ocr/images/test/syn-00e7b845c895463e3ffc.jpg,MH20GU1643,train,synthetic,double,generated
ocr/images/test/syn-00f0df2dc336a0ef2a49.jpg,MH43QN1468,train,synthetic,single,generated
ocr/images/test/syn-00f4e0fd9430269219e6.jpg,MH24KP0565,train,synthetic,single,generated
ocr/images/test/syn-010620618ea24d97baf6.jpg,MH15PF2992,train,synthetic,single,generated
ocr/images/test/syn-0126963d844991324c99.jpg,BR85DG5783,train,synthetic,single,generated
ocr/images/test/syn-013d2892ff8b8da9bcfb.jpg,MH54VZ1468,train,synthetic,single,generated
ocr/images/test/syn-014428cb2bba69dcd705.jpg,MH36CM5830,train,synthetic,single,generated
ocr/images/test/syn-015049015d87026e703a.jpg,MH20QZ1132,train,synthetic,single,generated
ocr/images/test/syn-018a8da1d189d907237f.jpg,MH51LJW2248,train,synthetic,double,generated
ocr/images/test/syn-018d37f0bb41fe875898.jpg,MH57ZQB5451,train,synthetic,double,generated
ocr/images/test/syn-018d868d60fe658135ee.jpg,MH49DW0087,train,synthetic,single,generated
ocr/images/test/syn-019802ac0db33928b844.jpg,MH09EQ3777,train,synthetic,single,generated
ocr/images/test/syn-01a86fcb5ff1f0ab02ae.jpg,MH57C2169,train,synthetic,single,generated
ocr/images/test/syn-01adb054222e8a64813c.jpg,MH28P9315,train,synthetic,single,generated
ocr/images/test/syn-01bfefe065bd3faafe7e.jpg,OD43LW8881,train,synthetic,single,generated
ocr/images/test/syn-01d01c29282e3fa17704.jpg,KL52TA4208,train,synthetic,single,generated
ocr/images/test/syn-01d743a739545073e297.jpg,TN08NH9775,train,synthetic,single,generated
ocr/images/test/syn-01d813033ee089674cec.jpg,HR61CX0588,train,synthetic,single,generated
ocr/images/test/syn-01e19901e14b8a135b78.jpg,MH30UV5429,train,synthetic,single,generated
