image_path,plate_text,split,origin,layout,source_status
ocr/images/train/1267_1.jpg,X30UDT9,,real,unknown,unparseable
ocr/images/train/1334_1.jpg,10,,real,unknown,unparseable
ocr/images/train/1359_1.jpg,ALOB499,,real,unknown,unparseable
ocr/images/train/1364_1.jpg,F3404,,real,unknown,unparseable
ocr/images/train/1371_0.jpg,CC2111J,,real,unknown,unparseable
ocr/images/train/1371_1.jpg,IM15A152LI,,real,unknown,unparseable
ocr/images/train/1407_0.jpg,V3096,,real,unknown,unparseable
ocr/images/train/1436_1.jpg,P8552,,real,unknown,unparseable
ocr/images/train/212_0.jpg,K22J2065,,real,unknown,unparseable
ocr/images/train/3336_1.jpg,KA03H38616,,real,unknown,unparseable
ocr/images/train/3349_1.jpg,05VN2992,,real,unknown,unparseable
ocr/images/train/3369_1.jpg,KAJCO,,real,unknown,unparseable
ocr/images/train/3419_1.jpg,TNQ4079,,real,unknown,unparseable
ocr/images/train/3477_0.jpg,USO1218,,real,unknown,unparseable
ocr/images/train/3491_0.jpg,MH473AP8739,,real,unknown,unparseable
ocr/images/train/3730_0.jpg,TMM5570,,real,unknown,unparseable
ocr/images/train/4271_0.jpg,ABW3589,,real,unknown,unparseable
ocr/images/train/5096_0.jpg,TNJ1284,,real,unknown,unparseable
ocr/images/train/5330_1.jpg,YR49XFB,,real,unknown,unparseable
ocr/images/train/6256_0.jpg,WBJ1450,,real,unknown,unparseable
ocr/images/train/6336_0.jpg,WBJ7J4O36,,real,unknown,unparseable
ocr/images/train/6350_0.jpg,WBG7G4636,,real,unknown,unparseable
ocr/images/train/73_0.jpg,BLA2565,,real,unknown,unparseable
ocr/images/train/774_2.jpg,CTJ3601,,real,unknown,unparseable
ocr/images/val/3338_0.jpg,KAUSHL9580,,real,unknown,unparseable
ocr/images/val/3822_0.jpg,BMF1485,,real,unknown,unparseable
ocr/images/val/3853_0.jpg,FW8720K,,real,unknown,unparseable
ocr/images/val/4709_0.jpg,TS094A1488,,real,unknown,unparseable
ocr/images/val/5330_0.jpg,YR49XFB,,real,unknown,unparseable
ocr/images/val/6046_0.jpg,01CC1A0001,,real,unknown,unparseable
ocr/images/val/722_0.jpg,KLO8AR524,,real,unknown,unparseable
ocr/images/val/882_0.jpg,AKM117,,real,unknown,unparseable
